end-of-line eol endline line-end end-of-string new-line end-line linefeed carriage-return line-feed cr+lf crlf cr-lf end-of-record end-of-text end-of-message line-ending newline line-continuation end-of-data #13#10

malformed mal-formed well-formed malformatted invalid bogus faulty misformed mismatched non-valid corrupt corrupted erroneous double-encoded wellformed badly-formed malform incorrect ill-formatted misformatted bad-formed

archiva artifactory sonatype jfrog maven2 libs-snapshot-local ivy libs-release-local repo1.maven.org gitblit ibiblio maven-metadata.xml bintray jackrabbit websvn virgo maven-central geronimo ivyde ebr sonatype-work

datastore dynamodb db database memcache ndb hrd blobstore objectify bigtable data-store jdo dynamo mongodb redis database. databse simpledb cloudant bigquery documentdb

happens-before happens-after happen-before synchronizes-with synchronize-with sequenced-before action_a action_b synchronized-with jmm happened-before release-fence 8.3.1.4 causal atomicity loadstore memory-barrier s.post non-atomic hb loadload

ascii unicode acsii hex hexadecimal asci ebcdic utf-16 utf latin-1 us-ascii utf-8 octal shift-jis 8-bit iso-8859 utf8 utf16 windows-1252 hex. latin

ivy maven artifactory ivyde maven2 m2eclipse archiva ivy.xml tycho sbt gradle artifact maven3 ibiblio aether m2e maven-jar-plugin hudson antlib pom maven-ear-plugin

html2pdf mpdf tcpdf fpdf dompdf fpdi zend_pdf jspdf phpdocx xhtml2pdf rotativa html2ps pdflib flyingsaucer phpword itextpdf alivepdf princexml pd4ml pdfsharp barcode4j

idisposable disposable idispose inotifypropertychanged idisposible icloneable raii icomparable finalizer dispose idisposeable autocloseable iserializable serializable ienumerator ixmlserializable unitofwork cloneable ifoo sqlconnection irepository

binary hex hexadecimal non-binary bianry byte denary 01000111 01000001 16-bit bcd binhex base4 base64 binnary ascii textual 32-bit elf fixed-point 00010010

httpserver socketserver tcpserver httplistener http.server websockethandler basehttpserver net.server grizzly ftpclient websocketserver httpsserver simplexmlrpcserver asynchttpclient sslsocket threadingmixin chatserver tcplistener com.sun.net.httpserver.httpserver httpconnection basehttprequesthandler

try-with-resources try-with-resource try-finally try-catch-finally try-with multi-catch try...finally switch-case preparedstatement try-catch using-statement try...catch try..finally try-except callablestatement multicatch autocloseable with-statement try..catch bufferedwriter preparedstatements

author authors autor maintainer author. bdfl poet creator co-author sitaram guido authors. matz dhh reviewer poster auther gosling qiang asker rossum

pathinfo parse_url os.path.splitext basename path.getfilenamewithoutextension get_headers parse_str path.getextension getimagesize realpath file.basename request_uri path.getfilename os.path.basename request.url exif_imagetype splitext window.location.pathname finfo_file dirname location.pathname

fractals fractal l-systems terrains nurbs volumetric isosurfaces height-map metaballs flowcharts solids wavelets pyramids waveforms heightmaps mazes terrain billboards trajectories ray-tracing molecules

hostname fqdn host-name ip-address servername ip ipaddress hostnames 1.2.3.4 host server_name myhostname 127.0.0.1 port-number 127.0.1.1 domainname nameserver 10.10.10.10 192.168.1.1 ip-adress 10.0.0.1

locking locks synchronization lock synchronisation concurrency locking. syncronization synchronizing mutexes contention optimistic_force_increment synchronizations locks. locked unlocking spinlocks sychronization mutexs mutex file-lock

archive archives .zip rar tar.gz tgz .tar.gz tar archived .7z .tar tarball .tgz .xcarchive .app .tar.xz asar .xz unzip tar.bz2 sfx

javax.mail javamail com.sun.mail javax.xml.soap org.apache.http commons-email ical4j javax.activation imapclient saaj javax.json org.json asmack javax.jms org.apache.commons.httpclient wss4j javax.mail-api javax.comm javapns org.json.simple spongycastle

epoch epoc 1970 1970-01-01 1.1.1970 1970-1-1 utc timestamp 1-1-1970 epoche 01.01.1970 millis epoch. unixtime timstamp time_t unix-time difftime system.currenttimemillis time.time 01-01-1970

arguments parameters args argument arguments. arguements parameter arg overloads params paramters paramaters variables aguments arugments operands agruments varargs parameters. constructors strings

timestamp date timestamps time-stamp datetime datestamp unixtime timstamp timestamp. epoch timestap stamp unixtimestamp sysdate utc starttime date+time timestmap created_at systimestamp timestamptz

bcrypt-ruby test-unit tiny_tds rubygems-update sunspot_rails sqlite3-ruby cucumber-rails net-ssh rvm-capistrano composite_primary_keys activerecord-sqlserver-adapter rubygems-bundler debugger-ruby_core_source ruby-debug19 net-ldap net-sftp linecache19 jquery-ui-rails diff-lcs rspec-core autotest-fsevent

knuth cormen sedgewick taocp knuths brent mcilroy donald leiserson bentley rivest dekker breiman clrs hopcroft wadler stroustrup einstein norvig hoare clinger

shell bash cmd.exe terminal cmd sh shell. powershell tclsh ksh subprocess csh tcsh commandline my_command perl gnome-terminal cygstart command bash.exe git-bash

subdomain sub-domain subdomains domain vhost cname domain1.com mydomain.com example2.com domain2.com example.com sub-domains sub.domain.com virtualhost www.mydomain.com www.example.com domain.com subdomain.example.com subfolder example1.com www.domain.com

messagepack msgpack protostuff protobufs protobuf boost.serialization protobuff protocol-buffers kryo flexjson fastjson flatbuffers gpb spray-json protobuf.net json4s xdr protobuf-net servicestack.text bson jerkson

todos todo todolist appointments todolists foos fixmes dinners workouts missions listings microposts timesheets meals to-dos attendees venues bookings foobars announcements wines

broadcast broadcasts brodcast action_boot_completed braodcast broadcastreceiver receiver boradcast connectivity_change boot_completed sms_received connectivity_action action_user_present action_my_package_replaced boot_complete action_acl_disconnected reciever action_time_changed intent.action_time_tick recevier action_shutdown

ng-repeat ngrepeat ngfor ng-if ng-options v-for ng-show repeater ng-include ng-init ng-click ng-switch ng-model ng-repeater ngif ng-view directive foreach ng-class dom-repeat .each

channelfactory duplexchannelfactory serviceclient clientbase webchannelfactory webservicehost servicehost queueclient svcutil realproxy factory serviceproxy svcutil.exe httplistener tcpclient netnamedpipebinding servicefactory jsonserviceclient nettcpbinding okhttpclient webhttpbinding

closest nearest largest furthest closet smallest farthest highest lowest closer greatest fastest biggest shortest cheapest nth simplest longest centroid easiest farest

user-experience performance. ux usability understandability readabilty preformance performance... readibility manageability perfromance useability performence peformance predictability readablity user-friendliness perfs performace maintenability readbility

parcelable parceable serializable parcable externalizable serializeable ixmlserializable java.io.serializable iserializable cloneable parcellable parcelables kvmserializable icomparable parcel nscoding sparsearray realmlist iequatable realmobject serialisable

initialization initialisation intialization instantiation initalization construction initilization destruction initialization. initializer instanciation instatiation initializations initializtion creation initiation initialiser init evaluation deallocation intialisation

oid uuid oids uid objectid sid sysdescr guid pkey cid rowid _id entityid nodeid object_id eid agent_id objid instanceid device_id dn

driver drivers driver. dirver usbser.sys psqlodbc libusb-win32 connector myodbc qodbc jdbc4 qmysql3 drivers. qodbc3 ath5k qpsql winusb.sys cassandra-jdbc fglrx e1000e ath9k

drives disks drive drives. hdds drive. hdd luns harddrives computers printers pcs filesystems vms 7200rpm raid1 usbs machines disc sectors mountpoints

deflate gzip brotli setoutputfilter deflate64 zlib-wrapped zlib gzip-wrapped bzip2 lzw lz4 z_sync_flush flate deflated pako lzma2 ppmd lz77 compression gzencode addoutputfilterbytype

decompress uncompress compress decompresses recompress decompressing re-compress decode ungzip decompressed unzip decrypt re-encode uncompressing de-compress uncompresses un-gzip reencode reassemble base64-encode compresses

allocation allocations deallocation allocation. de-allocation reallocation allocator malloc allocating re-allocation free-store pre-allocation realloc destruction fragmentation preallocation allocated initialization reclamation freestore alocation

pre-compilation precompilation precompiling minification compilation. pre-compile transpilation uglification pre-compiling precompile compliation compilation build-time compiliation uglifying recompilation post-compile postprocessing link-time minifying code-generation

edges vertices triangles arcs rectangles corners vertexes edge circles polygons nodes contours neighbors edges. shapes borders intersections squares spheres neighbours ellipses

extender extenders autocompleteextender calendarextender maskededitextender popupcontrol maskededit ajaxtoolkit textboxwatermark validatorcalloutextender cascadingdropdown modalpopup htmleditorextender modalpopupextender raddatepicker calenderextender autocompletebox datetimepicker modelpopup radeditor aspxpopupcontrol

advertisement advertisements advertisment advertising advert advertiser ads iad interstitial ibeacon adverts ad interstitials banner banners adv_ind iptv campaign eddystone beacon iads

attributes properties fields attribute atributes attibutes elements attributes. tags atrributes attributs entities annotations classes ids objects members property styles atribute parameters

extern dllexport typedef #include __declspec dllimport cdef __stdcall #define #ifndef const __restrict h-file declspec constexpr __thread extrn __block objective-c++ dll_export __restrict__

scrolltop scrollleft .scrolltop scrollheight .scrollleft window.scrolltop .top outerheight offsettop window.scrolly document.body.scrolltop scrollwidth window.pageyoffset .position outerwidth .height offsetheight scrollto scrolly innerheight .width

jradiobutton jcheckbox jtogglebutton buttongroup jradiobuttons jmenuitem jcheckboxmenuitem jmenu buttonmodel jbutton jcombobox jmenubar jcheckboxes treeitem jtoolbar focuslistener jradiobuttonmenuitem jlist jmenuitems jpopupmenu jcomponent

implements exposes encapsulates extends defines utilizes provides implments implementes declares uses impliments invokes instantiates supports enforces inherits handles wraps accepts performs

slug slugs permalink post_id category_id postid post_title post_name term_id article_id blogid blog_id categoryid articleid pageid pagename category_name taxonomy post_type url_title parent_id

tracking monitoring track detection tracker traking detecting tracking. sensing tracks reporting management tracked managing auditing analytics timeonpage ga markerless trackers tracing

webhttpbinding basichttpbinding wshttpbinding nettcpbinding wsdualhttpbinding nettcp custombinding basichttp netmsmqbinding wshttp webhttp httpbinding netnamedpipebinding mexhttpbinding webhttpbehavior basichttpsbinding ws2007federationhttpbinding pollingduplexhttpbinding mextcpbinding msmqintegrationbinding net.tcp

undefined undefined. uninitialized undefiend undefinied null nil underfined undifined udefined unexpected invalid undefind unspecified illegal incorrect uninitialised undeclared indefined undefied undefinded

intermittent sporadic intermittant occasional inexplicable intermitent intermittently unexplainable unexplained unreproducible erratic sporadically out-of-memory unrecoverable occassional hard-to-reproduce unfixable inconsistent occassionally abnormal catastrophic

watin watir htmlunit selenium protractor webdriver specflow codedui watir-webdriver nightwatch.js geb webaii testcomplete qtp nightwatch selenium2 qunit selenide sahi ranorex uft

ccw counterclockwise counter-clockwise anti-clockwise clock-wise counter-clock-wise cw anticlockwise clockwise -angle winding rads azimuthal bisector east-west cone xy-plane up-vector gl_cw perpendicular orthogonally

minidump mini-dump coredump crashdump core-dump .dmp dmp procdump heapdump vmcore adplus corefile gmon.out crash-dump memory.dmp debugdiag stackdump minidumps hprof .hprof drwatson

watij web-driver selenium2 selenuim selinium httpunit iphonedriver watin culerity webdriver.io jwebunit firewatir seleniumrc celerity selenium-rc watir htmlunitdriver selenium2.0 jsunit flexmonkey phantomjsdriver

ctags cscope exuberant gtags exuberant-ctags scons autoconf geany vim omnicppcomplete jsctags clang_complete automake omnicomplete ctag doxygen youcompleteme autotools libtool ctrlp exhuberant

ujs jquery-ujs remotipart rjs rails-ujs turbolinks turbolink jrails jshelper observe_field link_to_remote remote_form_for jquery_ujs rails.js devise-token-auth unobstrusive client_side_validation nested_forms mailform wiselinks jquery-rails

system.drawing system.windows.media system.windows.forms system.windows system.windows.media.imaging system.drawing.imaging system.data system.xml.linq system.io system.drawing.drawing2d system.management microsoft.visualbasic system.io.compression system.net.http system.runtime.serialization system.configuration system.printing system.reflection system.windows.controls system.data.entity microsoft.xna.framework

cloud9 c9.io codenvy nitrous.io codeanywhere codio nitrous koding rubymine openshift webstorm lighttable pycharm monaca cloudbees pythonanywhere codiad circleci phpstorm cloudfoundry intellijidea

breeze breezejs breeze.js jaydata ember-data servicestack restangular backbone odata mongoose ormlite nhibernate sequelize webapi waterline dapper ef spring-data-rest ef4 linq-to-sql automapper

watir watir-webdriver capybara selenium-webdriver watin webdriver poltergeist selenium firewatir selenium2 splinter protractor geb htmlunit phantomjs casperjs web-driver webdriverio capybara-webkit nightwatch webdriver.io

extensible extendable customizable flexible scalable expressive versatile powerful adaptable modular maintainable lightweight robust extendible composable testable interoperable reusable type-safe scaleable portable

bottle necked necking necks neck pyramid web.py cherrypy flask falcon pylons tornado werkzeug webpy bottle.py bootle whiskey gevent perfume bottlepy turbogears

variadic varadic varargs non-variadic curried constexpr vararg non-type templated specialization perfect-forwarding va_list sfinae specialisation curry non-template tupled va_args templatized non-templated pointer-to-member

coordinate co-ordinate coordinates coord co-ordinates coords cordinate coodinate coordiante plane coordiantes geocentric x-y co-ords position coodinates right-handed left-handed coordinates. cordinates y-coordinate

objectanimator valueanimator viewpropertyanimator alphaanimation animatorset translateanimation animationset animationdrawable scaleanimation rotateanimation animatedvectordrawable layouttransition animator animationlistener cabasicanimation animatorlistener catransition transitiondrawable cakeyframeanimation objectanimationusingkeyframes layoutanimationcontroller

model viewmodel model. models datamodel entity view-model mymodel dto controller foreignkey pojo dbcontext modelform collection schema model2 modela model1 manytomanyfield usermodel

reward rewards earn award winnings earning earns payout prize awarded profits earned paycheck revenue awarding pension score bonuses loyalty happiness commission

dimension dimensions dimention column coefficient quarter row axis pixel matrix stride weight columns dimension. bins covariate shape cardinality weights size y-axis

monoids applicatives comonads monads semigroups typeclasses morphisms algebras functors catamorphisms zippers kleisli monoidal lenses catamorphism comonad transducers multisets naturals homomorphism homomorphisms

j9 j2re jrockit jrocket power7 power6 non-sun cacao icedtea microsystem 11i microsystems 1.6.0_18 kaffe 1.6u21 jdk. openjdk 6u21 jamvm redbooks bluegene

datefield timefield datetimefield jdatechooser datetimepicker datechooser numberfield dateinput charfield datebox daterange jspinner models.datefield datetextfield textinput jxdatepicker selectdatewidget selectfield formfield decimalfield datetextbox

alerts alert popups notifications messages toasts pop-ups notification events alerting console.logs emails alarms ads toast dialogs notices warnings badges alert. alerts.

nodelist htmlcollection domnodelist nodeset domelement getelementsbyclassname getelementsbytagname childnodes domnode queryselectorall documentfragment textnode namednodemap htmlelement getelementsbyname xmlnodelist document.getelementsbyclassname simplexmlelement queryselector parentnode jquery-object

clientscript clientscriptmanager scriptmanager.registerclientscriptblock scriptmanager.registerstartupscript scriptmanagerproxy scriptmanager registerstartupscript page.clientscript pagemethods registerclientscriptblock clientscript.registerstartupscript toolkitscriptmanager radajaxmanager registerasyncpostbackcontrol page.clientscript.registerclientscriptblock toolscriptmanager radscriptmanager pagerequestmanager clientscriptmanager.registerclientscriptblock page.clientscript.registerstartupscript postbacktrigger

folderbrowserdialog savefiledialog openfiledialog filedialog folderbrowser qfiledialog topendialog jfilechooser filechooser colordialog folderpicker printdialog messagedialog fontdialog cfiledialog notifyicon childwindow filesavepicker toolstripdropdown fileopendialog savedialog

money cash dollars money. funds fees deposit fee commission profit bitcoins owed paid withdrawal payed euros usd charges bucks budget withdrawing

registerstartupscript registerclientscriptblock scriptmanager.registerstartupscript scriptmanager.registerclientscriptblock clientscript.registerstartupscript registerclientscriptinclude page.clientscript.registerstartupscript clientscriptmanager.registerclientscriptblock clientscriptmanager page.clientscript.registerclientscriptblock clientscriptmanager.registerstartupscript __dopostback clientscript page.clientscript invokescript pagemethods clientscript.registerclientscriptblock loadcontrol server.execute page.registerstartupscript scriptmanager

sqliteopenhelper databasehelper dbhelper sqlitedatabase sqlitehelper dbadapter databasemanager openhelper ormlitesqliteopenhelper cursoradapter simplecursoradapter databasehandler contentprovider dbmanager cursorloader loadermanager baseadapter databaseconnection pageradapter fragmentpageradapter recyclerview.adapter

nscopying nssecurecoding nscoding nsfastenumeration nsobjectprotocol someprotocol customstringconvertible uikeyinput uiactivityitemsource nsmutablecopying stringliteralconvertible equatable nspasteboardwriting integerliteralconvertible nsfetchedresultssectioninfo uiviewcontrolleranimatedtransitioning myprotocol nstableviewdatasource mutablecollectiontype uinavigationcontrollerdelegate uiviewcontrollertransitioningdelegate

sublimetext sublime-text textmate geany sublimetext2 scite gedit coda st3 textpad sublime atom.io macvim textwrangler nppexec jedit st2 iterm pspad np++ sublimetext3

html2canvas canvg jspdf canvas2image html2canvas.js pdf.js fabricjs raphaeljs fabric.js pdfmake kinetic.js jcrop filesaver.js pixastic pdfjs snapsvg picturefill raphael.js canvas.todataurl camanjs jsignature

jshint jslint eslint pylint jscs rubocop lint csslint tslint uglifyjs linting flake8 checkstyle syntastic sublimelinter linter stylecop karma cppcheck findbugs uglify

posixct posixlt posixt yearmon xts as.date as.posixct timedelta as.posixlt yearqtr difftime struct_time numpy.datetime64 idate datetime.time datetimeindex localdate dateinterval java.sql.time datetime64 datetime

aspect ratio aspects device-pixel apsect concept paradigm modularity apect proportions power-to-weight aspect-ratio extent signal-to-noise width-to-height degree onmethodboundary ratio. height-width -ratio principle

bytearrayoutputstream bytearrayinputstream memorystream stringwriter bufferedwriter bufferedoutputstream dataoutputstream bufferedinputstream zipoutputstream fileoutputstream bytebuffer printwriter outputstream gzipoutputstream gzipinputstream fileinputstream bufferedreader binarywriter datainputstream stringreader bytearray

touch touches tap swipe touch. touche mouse pan multitouch shake scroll tocuh multi-touch gesture single-touch longpress taps swipes click+drag double-tap touch.i

underline underlining overline strikethrough italic underlined bold strikeout strike-through underlines border italics text-decoration italicize unbold bolding line-through squiggle orange yellow blue

displaytag openfaces omnifaces jstl django-tables2 primeface tomahawk jxls ng-table richfaces icefaces ng-grid primefaces ngtable cgridview clistview angular-datatables barcode4j dynamicjasper paginator slickgrid

look-and-feel look-n-feel laf plaf lookandfeel apperance appearance lnf appearence theming user-interface skins branding skinnable uiid ux lay-out mahapps uis themeing lafs

alphabetical alphabetically ascending alphabetic descending decending lexicographic lexicographical chronological alphebetical asc z-a alphanumerically alphabetized ordered accending asciibetical lexographic sorted desending alphabeticly

detach detaching reattach detatch detaches re-attach destroy unbind deattach reattaching detached dettach re-attaching unattach reattached re-create unload disconnect disassociate deattached kill

struct structs mystruct typedef pointer tuple bitfield member myclass enum vector const vec ptr uint8_t functor shared_ptr dictionary linkedlist hashtable uint32_t

generator generators parser transformer random-number pseudorandom static-site rng generator. pseudo-random xorshift randomr stdgen mygenerator random.random generation parser-generator randomizer itertools.count prettyprinter simplifier

ruby-on-rails rubyonrails ror rails3 padrino rails4 ror3 refinerycms non-rails meteorjs merb python-django codeingiter rails2 meteor.js codeignitor laravel5 sailsjs laravel4 rails rails3.1

imagebutton imageview togglebutton onclicklistener textview ontouchlistener cardview framelayout listitem edittext relativelayout linkbutton linearlayout uibutton expandablelistview appbar onlongclicklistener image-view horizontalscrollview radiogroup alertdialog

django-nonrel djangoappengine mongoengine geodjango djangorestframework mongodb-engine pinax django-mptt django-mongodb-engine django-celery app-engine-patch neo4django satchmo django-haystack djangotoolbox nonrel python-social-auth django-social-auth django-registration django-pyodbc django-storages

out-of-process out-of-proc in-proc in-process out-proc outproc inproc apartment-threaded com+ always-running rmi always-on inprocess iis-hosted stateserver application-level ldap-compliant on-premises sta embeddabledocumentstore mta

except exept execpt excepting execept excpet hunky-dory including excluding i.e peachy-keen excepts hunky peachy but block0 except. a-okay exluding tickety-boo almost

touchesmoved touchesended touchesbegan touchbegan touchmoved cctouchesbegan touchesbegin cctouchesmoved touchesend cctouchbegan touchended touchescancelled scrollviewdidscroll -touchesmoved withevent cctouchesended motionended hittest cctouchmoved mousedragged mousemoved

d3.js d3js d3 rickshaw cytoscape.js nvd3.js nvd3 sigma.js flot highcharts dc.js amcharts raphael.js dimple chart.js protovis c3.js jqplot charts.js chartjs raphaeljs

shingles ngrams trigrams n-grams unigrams bigrams ngram bi-grams shingle bigram 2-grams trigram n-gram 3-grams edgengram standardanalyzer stemmers 4-grams shinglefilter termquery bi-gram

decompression uncompression compression decompressing lzw decoding decompressor lzma2 recompression lz4 flate compressions deflate uncompressing bzip2 checksumming transcoding ppmd decryption brotli jpeg-ls

nerdtree netrw ctrlp fuzzyfinder minibufexplorer tagbar command-t gvim taglist macvim dired bufexplorer minibufexpl python-mode vim rails.vim commandt np++ gedit pathogen minibuffer

autonumber auto-increment autoincrement auto-incremented auto-incrementing autoinc auto-number autoincrementing autoincremented auto_increment auto_incrementing auto_incremented auto-incremental autoincremental autonumbered auto-id auto-inc autonumbering autofield recid primary-key

functionality functionalities functionallity funcionality capability capabilities features feature functionality. functionnality facility mechanism facilities funcitonality functionalty interactivity functinality logic abilities behaviors behavior

flashing blinking flashes flickering blinks flicker blink disappearing flickers dimming pulsing glitching jerking momentarily twitching spinning jiggling throbbing ghosting vibrating bouncing

x-sendfile x-accel-redirect mod_xsendfile mod_deflate xsendfile mod_expires mod_headers mod_proxy x-forwarded-proto mod_header x-forwarded-for lighttpd mod_remoteip staticfilehandler if-none-match mod_fastcgi mod_proxy_ajp content-encoding x-real-ip apache_request_headers if-modified-since

downcasting upcasting down-casting typecasting type-casting casting downcast downcasts dynamic_cast unboxing boxing upcast static_cast up-casting auto-boxing autoboxing reinterpret_cast coercion asinstanceof upcasts widening

loader loaders loader. imageloader classloader downloader preloader laoder loder moduleloader textureloader uil resourceloader dexclassloader resolver image-loader imageio loading simpleimage swfloader class-loader

styles styling stylings stylesheets css style themes styles. css-rules backgrounds stylesheet style-sheets css-classes media-queries skins layouts icons widgets style-sheet background-images font-faces

pair pairs tuple sequence vector combination tuples dictionary triplet list permutation dict array occurrence k hash sublist vertex number gene hashmap

tmpfs ramfs ramdisk btrfs ext4 ram-disk ext3 xfs jffs2 hugetlbfs lvm zfs shm ext2 mkfs vfat debugfs ufs tempfs fat32 raid1

hover mouseover hovering hovered mouse-over rollover hovers mouseout hove hoover hoverd mousing mouse-hover mouse mouseenter mouseleave moused toggle mousover onmouseover unhovered

rubygems bundler rvm libv8 rbenv ruby-build net-ssh bcrypt-ruby 1.9.3 1.8.7 multi_json therubyracer linecache19 rubygem gem debugger-ruby_core_source ruby-oci8 ruby-debug19 ruby-debug tiny_tds newrelic_rpm

alarms reminders uilocalnotifications alarm timers geofences pendingintents notifications appointments activities events tasks uilocalnotification alaram subscriptions receivers alarmmanager jobs nstimers broadcastreceivers schedules

libc glibc newlib libstdc++ musl libc.so libm uclibc libgcc msvcrt libpthread dietlibc c-library libdl glib lapack nptl libunwind stdlibc++ soft-float blas

options choices possibilities options. alternatives flags possibilites configurations variants approaches modes presets possiblities settings dropdowns parameters option properties subcommands features tools

subform sub-form userform dgv datagridview dbgrid detailsview bindingsource subreport datagridview1 subform1 mainform combobox formview subform2 recordset repeater radgrid form2 combo-box subforms

proj4 proj.4 proj4js geos ogr gdal shapely route-me pyproj dotspatial mapnik yaml-cpp osgeo sharpmap qgis pyshp geotools aruco ogr2ogr spatialite assimp

gestures gesture touchevents recognizers multitouch multi-touch motionevents pinch-to-zoom guesture double-tap uigesturerecognizers pangesture events fling movements recognisers multi-finger keypresses uipangesturerecognizer uiswipegesturerecognizer pinch-zoom

one-to-many many-to-many many-to-one one-to-one onetomany manytomany manytoone 1-to-many onetoone hasmany habtm 1-many one-many unidirectional has_and_belongs_to_many belongsto to-one many-many to-many hasone one-one

googletest gtest cppunit gmock unittest++ cunit cpputest googlemock boost.test cxxtest dunit ghunit ocunit qtestlib cmocka google-test ocmock ctest xunit.net xctest mspec

traffic trafic traffics packets requests bandwidth traffic. connections latency traffice communications packet transmissions firewalls network pings egress ips routers 1gbps elb

preference preferences preferance pref prefs prefernces taste perference prefrences prefernce prefences preference. checkboxpreference prefrence preferenceactivity personal choice listpreference .gitconfig switchpreference apptheme

scheduler schedular scheduled scheduling sheduler threadpool schedule schedulers executor worker cron slurm quartz.net scheduler. timer scheduller celery dispatcher watchdog quartz taskscheduler

libs libraries librairies libaries jars librarys dlls lib binaries libraries. .jars packages modules dylibs libraires library deps plugins dependencies libs. frameworks

using utilizing usign useing leveraging utilising usin uses invoking via calling creating employing specifying writing referencing used passing providing implementing use

enums enumerations structs constants generics enum traits booleans lambdas typedefs enumerators singletons primitives bitfields literals constructors datatypes classes dictionaries namespaces consts

readdirectorychangesw findfirstchangenotification setwineventhook shfileoperation waitcommevent registerdevicenotification getfileattributes copyfileex readdirectorychanges deviceiocontrol shbrowseforfolder transmitfile setconsolectrlhandler msgwaitformultipleobjects waitformultipleobjects getmonitorinfo getoverlappedresult shell_notifyicon findnextchangenotification ntquerysysteminformation readfileex

silverlight sl wpf wp7 uwp winforms winrt sl4 siverlight wp8 sliverlight .net metro sl3 asp.net silveright sl5 winform prism xna winjs

avaudioplayer avplayer avaudiorecorder avqueueplayer mpmovieplayercontroller mpmusicplayercontroller audioplayer nssound mpmovieplayer avcapturesession avplayeritem audiotrack avaudioplayernode mpmovieplayerviewcontroller mediaplayer soundpool soundplayer avaudioengine avcapturemoviefileoutput avassetreader avasset

intel nvidia intels arm ivybridge i7-3770k centrino i-7 i7-4770 i7-3770 i5-2500k hd4000 arm7tdmi pgi cortex-a9 i7-920 i7-4770k piledriver 3.4ghz codeanalyst freescale

particle particles vortex mesh voxel planetary particlesystem terrain physics billboard sprite cannonball projectile decal photon tween torque raycasting navmesh pendulum trajectory

identifying identify determining identification detecting finding identifies identified distinguishing obtaining expressing locating forming identifing differentiating classifying indentifying extracting categorizing isolating associating

nullable non-nullable null-able not-nullable uniqueidentifier dbnull tinyint discriminator valuetype boolean bigint datetime2 smalldatetime datetimeoffset datetime bool nullables system.datetime pk rowversion smallint

event-loop eventloop event-driven ioloop iocp evented libuv asyncio event-based greenlet run-loop main-loop co-routine interruptible event-queue alertable greenlets event-processing libev co-routines eventmachine

wshttpbinding basichttpbinding nettcpbinding webhttpbinding custombinding wsdualhttpbinding nettcp netmsmqbinding wshttp basichttp netnamedpipebinding httpbinding msmqintegrationbinding net.tcp ws2007federationhttpbinding ws2007httpbinding ws-security pollingduplexhttpbinding basichttpsbinding transportwithmessagecredential datacontractserializer

interleave interleaving interleaved interleaves parallelize parallelise multiplex back-to-back correlate intersperse unify vectorize synchronise fusing permute recombine accumulate reassemble unroll vectorise de-interleave

money-rails twilio-ruby angularjs-rails github_api jquery-datatables-rails enumerize jquery-fileupload-rails has_scope font-awesome-rails chosen-rails tinymce-rails i18n-js bootstrap-datepicker-rails request_store acts_as_follower letsrate validates_timeliness active_shipping select2-rails bootstrap-wysihtml5-rails ajax-datatables-rails

newid newsequentialid rownum sys_guid rownumber binary_checksum rand rowid uuid_short oldid dbms_random.value scope_identity setval row_number row_id guid.newguid nextval currval crypt_gen_random last_insert_id ora_rowscn

blackberry j2me bb10 ios android andriod nokia webworks symbian tizen rim iphone 9860 wp7 javame bbos andorid androids mobile webos jde

three20 sharekit coreplot objectiveflickr core-plot mailcore mgtwitterengine twitter+oauth sdwebimage appirater quickdialog facebooksdk cocoalumberjack cocoapod greendroid dtcoretext sbjson mwphotobrowser oauthconsumer icarousel kal

pipelining pipe-lining chunking prefetching parallelization batching multiplexing parallelisation hyper-threading zero-copy simd coherency hyperthreading parallelism mimd multi-threading pipelines vectorization throttling load-balancing tco

unwrap unwrapped unwraps downcast unwrapping typecast type-cast dereference rewrap de-reference stringify force-unwrap unbox cast upcast coerce destructure deconstruct deref mutate marshal

interstitial interstitials iad iads interstitialad gadinterstitial interstital adbannerview pre-roll ads admob interstial advert bannerview revmob insterstitial intersitial banner chartboost adview advertisement

decimal decimals deciaml digits fractional decimal. digit hexadecimal base10 float base-10 decimel floating-point mantissa non-decimal numeric octal exponent decmal bigdecimal integer

grouping sorting groupping grouped aggregating subsetting joining filtering group groupby ordering pivoting groupings group-by partitioning summing faceting aggregation groupy distinct non-group

specifier specifiers hhx specifer modifier llu gnu_printf 02x format-specifier qualifier .2f lld hhu printf i64u d3.format specifier. 02d 04x typedef 08x

routines functions subroutines mechanisms functions. routine algorithms programs facilities methods operations funtions syscalls sub-routines funcs utilities techniques funcitons subprograms kernels funcions

textnode childnode textnodes documentfragment #text nodevalue domelement domnode textcontent subelement childnodes firstchild sub-element nodeset outerhtml innertext createtextnode parentnode text-node subnode appendchild

grub grub2 lilo syslinux grub.cfg uboot isolinux u-boot grub.conf uenv.txt initramfs bootloader vmlinuz menu.lst u-boot.bin bios kexec initrd qemu efi mlo

